timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 21:18:26.992424,2.8,86.9,14.8,6225845,16812705,338,1128214.1994094849,1
2026-03-03 21:18:32.015767,2.6,86.5,14.8,6225845,16812705,338,1128219.219881773,1
2026-03-03 21:18:37.036790,4.2,86.9,14.8,6225845,16812705,345,1128224.2345097065,1
2026-03-03 21:18:42.048593,9.3,86.9,14.8,6225845,16812705,345,1128229.2487399578,1
2026-03-03 21:18:47.063076,2.0,86.8,14.8,6225845,16812705,344,1128234.2679367065,1
2026-03-03 21:18:52.084299,9.1,86.7,14.8,6225845,16812705,344,1128239.2942478657,1
2026-03-03 21:18:57.119150,5.3,86.7,14.8,6225845,16812705,344,1128244.3148517609,1
2026-03-03 21:19:02.128003,3.7,86.7,14.8,6225845,16812705,344,1128249.327466011,1
2026-03-03 21:19:07.140374,9.3,86.7,14.8,6225845,16812705,343,1128254.3438489437,1
2026-03-03 21:19:12.158593,2.1,86.6,14.8,6225845,16812705,342,1128259.3625297546,1
2026-03-03 21:19:17.176800,3.3,86.7,14.8,6225845,16812705,341,1128264.3806176186,1
2026-03-03 21:19:22.195055,7.7,86.7,14.8,6225845,16812705,341,1128269.3987631798,1
2026-03-03 21:19:27.212379,4.9,86.7,14.8,6225845,16812705,341,1128274.414790392,1
2026-03-03 21:19:32.229410,9.9,86.5,14.8,6225845,16812705,340,1128279.4295136929,1
2026-03-03 21:19:37.242740,7.0,86.4,14.8,6225845,16812705,337,1128284.4525756836,1
2026-03-03 21:19:42.267304,5.9,86.5,14.8,6225845,16812705,336,1128289.4698019028,1
2026-03-03 21:19:47.284785,2.0,86.4,14.8,6225845,16812705,336,1128294.4881968498,1
2026-03-03 21:19:52.302839,2.9,86.5,14.8,6225845,16812705,336,1128299.5081932545,1
2026-03-03 21:19:57.323176,2.2,86.5,14.8,6225845,16812705,336,1128304.527228117,1
2026-03-03 21:20:02.341706,15.2,86.4,14.8,6225845,16812705,336,1128309.5440602303,1
2026-03-03 21:20:07.357883,3.3,86.4,14.8,6225845,16812705,335,1128314.5585086346,1
2026-03-03 21:20:12.373819,12.3,86.8,14.8,6225845,16812705,335,1128319.571814537,1
2026-03-03 21:20:17.385063,5.0,84.7,14.8,6225845,16812705,335,1128324.5874631405,0
2026-03-03 21:20:22.402633,5.0,84.7,14.8,6225845,16812705,335,1128329.602706194,0
2026-03-03 21:20:27.430331,2.6,84.8,14.8,6225845,16812705,335,1128334.6332864761,0
2026-03-03 21:20:32.448056,5.5,84.8,14.8,6225845,16812705,335,1128339.6507527828,0
2026-03-03 21:20:37.465568,1.9,84.8,14.8,6225845,16812705,335,1128344.6681656837,0
2026-03-03 21:20:42.487086,3.0,84.9,14.8,6225845,16812705,335,1128349.6908254623,0
2026-03-03 21:20:47.504561,3.5,84.9,14.8,6225845,16812705,335,1128354.706555605,0
2026-03-03 21:20:52.521525,10.0,84.8,14.8,6225845,16812705,335,1128359.72189188,0
2026-03-03 21:20:57.537033,9.4,84.1,14.8,6225845,16812705,335,1128364.734073162,0
2026-03-03 21:21:02.547648,5.9,83.9,14.8,6225845,16812705,335,1128369.7455160618,0
